#- Haswell
nspec nwave ntot rate
  2   5   10 16.715049
  2  10   20 50.770754
  2  20   40 56.340049
  2  50  100 66.287818
  5   5   25 55.414477
  5  10   50 199.501330
  5  20  100 243.097747
  5  50  250 211.820141
 10   5   50 63.702193
 10  10  100 193.670026
 10  20  200 211.118186
 10  50  500 187.493289
 20   5  100 45.677619
 20  10  200 102.124792
 20  20  400 103.956750
 20  50 1000 78.466316
 25   5  125 30.403808
 25  10  250 101.902964
 25  20  500 109.840210
 25  50 1250 69.846613
